barley	artificial data	e-value	description
12_30600	4_0075	8.00E-93	none
12_11536	4_0076	1.00E-169	none
11_10370	4_0077	1.00E-121	none
11_21302	4_0078	1.00E-102	none
12_10713	4_0079	0	none
12_30835	4_0080	0	none
12_30621	4_0081	0	none
12_30550	4_0082	2.00E-98	none
12_31215	4_0083	1.00E-146	none
12_30445	4_0084	0	none
11_20200	4_0085	0	none
12_30389	4_0086	0	none
11_11291	4_0087	4.00E-88	none
12_30563	4_0088	0	none
12_31418	4_0089	1.00E-127	none
11_20460	4_0090	0	none
11_10534	4_0091	0	none
12_30565	4_0092	1.00E-61	none
11_11461	4_0093	1.00E-121	none
12_11091	4_0094	1.00E-144	none
11_10673	4_0095	1.00E-145	none
12_30506	4_0096	1.00E-107	none
12_10982	4_0097	1.00E-131	none
11_20205	4_0098	0	none
12_10125	4_0099	0	none
11_10069	4_0100	6.00E-78	none
11_21079	4_0101	7.00E-76	none
11_20349	4_0102	0.000002	none
12_10369	4_0103	2.00E-15	none
12_31211	4_0104	0	none
12_30213	4_0105	1.00E-160	none
12_30645	4_0106	0	none
12_11377	4_0107	5.00E-13	none
12_11499	4_0108	8.00E-38	none
11_20880	4_0109	3.00E-45	none
12_30998	4_0110	3.00E-45	none
12_11529	4_0111	1.00E-111	none
11_11445	4_0112	1.00E-30	none
12_21520	4_0113	1.00E-30	none
11_10531	4_0114	0	none
11_10442	4_0115	1.00E-59	none
12_11055	4_0116	1.00E-157	none
11_11239	4_0117	0	none
11_20230	4_0118	0	none
11_20042	4_0119	1.00E-126	none
12_30199	4_0120	1.00E-82	none
11_20896	4_0121	1.00E-180	none
12_31199	4_0122	1.00E-87	none
11_21330	4_0123	9.00E-71	none
12_31137	4_0124	4.00E-21	none
11_21409	4_0125	1.00E-135	none
11_20771	4_0126	3.00E-32	none
11_10143	4_0127	7.00E-65	none
11_10303	4_0128	0	none
12_10089	4_0129	0	none
11_20083	4_0130	1.00E-121	none
12_30419	4_0131	1.00E-114	none
11_20485	4_0132	2.00E-67	none
12_30026	4_0133	1.00E-124	none
12_20685	4_0134	1.00E-143	none
12_11437	4_0135	1.00E-17	none
12_30996	4_0136	6.00E-79	none
12_30301	4_0137	1.00E-141	none
11_21448	4_0138	2.00E-77	none
11_21201	4_0139	1.00E-124	none
11_21173	4_0140	1.00E-161	none
12_31395	4_0141	1.00E-117	none
12_30806	4_0142	3.00E-62	none
12_31188	4_0143	0	none
11_20808	4_0144	1.00E-120	none
12_30335	4_0145	5.00E-90	none
12_20611	4_0146	0	none
11_20103	4_0147	4.00E-51	none
12_30168	4_0148	1.00E-140	none
12_31294	4_0149	2.00E-21	none
12_31440	4_0150	1.00E-107	none
12_11051	4_0151	1.00E-136	none
12_30630	4_0152	1.00E-100	none
11_10169	4_0153	1.00E-152	none
12_21464	4_0154	1.00E-134	none
12_31261	4_0155	1.00E-64	none
11_20824	4_0156	5.00E-36	none
12_10362	4_0157	1.00E-178	none
12_20406	4_0158	1.00E-178	none
12_20684	4_0159	0	none
11_20385	4_0160	4.00E-51	none
11_20652	4_0161	2.00E-43	none
11_20092	4_0162	5.00E-25	none
11_10853	4_0163	0	none
12_10241	4_0164	0	none
11_10563	4_0165	3.00E-48	none
12_10652	4_0166	1.00E-142	none
11_20570	4_0167	3.00E-59	none
12_30362	4_0168	2.00E-26	none
11_20247	4_0169	2.00E-78	none
12_21208	4_0170	6.00E-44	none
12_31363	4_0171	0	none
12_30797	4_0172	1.00E-45	none
12_30368	4_0173	2.00E-57	none
12_30164	4_0174	7.00E-71	none
12_11184	4_0175	0	none
12_20217	4_0176	0	none
12_10543	4_0177	0	none
12_31232	4_0178	1.00E-139	none
11_11243	4_0179	0	none
11_20354	4_0180	1.00E-135	none
12_31535	4_0181	1.00E-32	none
12_31374	4_0182	0	none
11_11521	4_0183	3.00E-39	none
11_10182	4_0184	0	none
12_11279	4_0185	2.00E-60	none
11_21229	4_0186	1.00E-111	none
12_20832	4_0187	0	none
11_21209	4_0188	1.00E-114	none
11_21104	4_0189	1.00E-141	none
11_10861	4_0190	1.00E-134	none
11_10078	4_0191	2.00E-19	none
11_10797	4_0192	1.00E-139	none
11_21160	4_0193	0	none
12_30831	4_0194	1.00E-59	none
12_30380	4_0195	7.00E-46	none
11_10885	4_0196	4.00E-48	none
12_10973	4_0197	1.00E-116	none
11_20847	4_0198	1.00E-176	none
11_10454	4_0199	1.00E-120	none
11_10687	4_0200	1.00E-165	none
11_20139	4_0201	6.00E-20	none
12_30761	4_0202	0	none
11_21280	4_0203	1.00E-146	none
11_10550	4_0204	0	none
12_20949	4_0205	1.00E-77	none
12_10677	4_0206	0	none
12_31325	4_0207	1.00E-14	none
12_31491	4_0208	9.00E-41	none
11_21363	4_0209	1.00E-130	none
11_10843	4_0210	2.00E-12	none
11_11440	4_0211	1.00E-109	none
12_31166	4_0212	0	none
11_20414	4_0213	1.00E-99	none
11_20452	4_0214	1.00E-109	none
11_21223	4_0215	0	none
12_30593	4_0216	1.00E-149	none
11_11012	4_0217	0	none
11_10130	4_0218	3.00E-67	none
12_21016	4_0219	0	none
12_11309	4_0220	1.00E-106	none
11_10896	4_0221	1.00E-87	none
11_11275	4_0222	2.00E-96	none
12_21328	4_0223	1.00E-160	none
12_20926	4_0224	1.00E-170	none
11_20962	4_0225	1.00E-163	none
12_30244	4_0226	4.00E-59	none
12_20079	4_0227	0.000000002	none
11_20117	4_0228	2.00E-38	none
11_20504	4_0229	6.00E-41	none
11_21086	4_0230	2.00E-41	none
11_10999	4_0231	2.00E-92	none
11_20586	4_0232	1.00E-114	none
12_30974	4_0233	2.00E-24	none
11_20170	4_0234	0	none
11_20365	4_0235	0	none
11_10174	4_0236	0	none
12_30826	4_0237	6.00E-11	none
12_10378	4_0238	3.00E-59	none
12_31019	4_0239	2.00E-39	none
